"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"08:46:57.3028115 AM","DllHost.exe","27228","RegCloseKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS",""
"08:46:57.3028255 AM","DllHost.exe","27228","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"08:46:57.3028383 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","REPARSE","Desired Access: Read/Write"
"08:46:57.3028493 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS","Desired Access: Read/Write"
"08:46:57.3028619 AM","DllHost.exe","27228","RegCloseKey","HKCU","SUCCESS",""
"08:46:57.3030538 AM","DllHost.exe","27228","RegQueryValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-1410","NAME NOT FOUND","Length: 532"
"08:46:57.3034426 AM","DllHost.exe","27228","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS","Desired Access: Read"
"08:46:57.3034592 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"08:46:57.3034721 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Latest","SUCCESS","Type: REG_SZ, Length: 210, Data: C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22000.35.229.0_neutral__8wekyb3d8bbwe"
"08:46:57.3034852 AM","DllHost.exe","27228","RegCloseKey","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS",""
"08:46:57.3036760 AM","DllHost.exe","27228","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-1410","SUCCESS","Type: REG_SZ, Length: 42, Data: (UTC+02:00) Damascus"
"08:46:57.3037851 AM","DllHost.exe","27228","RegCloseKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS",""
"08:46:57.3037983 AM","DllHost.exe","27228","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Syria Standard Time\Display","SUCCESS","Type: REG_SZ, Length: 42, Data: (UTC+02:00) Damascus"
"08:46:57.3038172 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Syria Standard Time\MUI_Dlt","SUCCESS","Type: REG_SZ, Length: 34, Data: @tzres.dll,-1411"
"08:46:57.3038331 AM","DllHost.exe","27228","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\MUI\StringCacheSettings","REPARSE","Desired Access: Query Value"
"08:46:57.3038458 AM","DllHost.exe","27228","RegOpenKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS","Desired Access: Query Value"
"08:46:57.3038590 AM","DllHost.exe","27228","RegQueryValue","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings\StringCacheGeneration","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4373"
"08:46:57.3038708 AM","DllHost.exe","27228","RegCloseKey","HKLM\System\CurrentControlSet\Control\MUI\StringCacheSettings","SUCCESS",""
"08:46:57.3038880 AM","DllHost.exe","27228","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"08:46:57.3039013 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","REPARSE","Desired Access: Read/Write"
"08:46:57.3039148 AM","DllHost.exe","27228","RegOpenKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS","Desired Access: Read/Write"
"08:46:57.3039286 AM","DllHost.exe","27228","RegCloseKey","HKCU","SUCCESS",""
"08:46:57.3041194 AM","DllHost.exe","27228","RegQueryValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-1411","NAME NOT FOUND","Length: 532"
"08:46:57.3045200 AM","DllHost.exe","27228","RegOpenKey","HKLM\Software\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS","Desired Access: Read"
"08:46:57.3045360 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Type","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"08:46:57.3045483 AM","DllHost.exe","27228","RegQueryValue","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB\Latest","SUCCESS","Type: REG_SZ, Length: 210, Data: C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePacken-GB_22000.35.229.0_neutral__8wekyb3d8bbwe"
"08:46:57.3045621 AM","DllHost.exe","27228","RegCloseKey","HKLM\SOFTWARE\Microsoft\LanguageOverlay\OverlayPackages\en-GB","SUCCESS",""
"08:46:57.3047352 AM","DllHost.exe","27228","RegSetValue","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB\@tzres.dll,-1411","SUCCESS","Type: REG_SZ, Length: 36, Data: Syria Summer Time"
"08:46:57.3048402 AM","DllHost.exe","27228","RegCloseKey","HKCU\Software\Classes\Local Settings\MuiCache\1115\417C44EB","SUCCESS",""
"08:46:57.3048530 AM","DllHost.exe","27228","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Time Zones\Syria Standard Time\Dlt","SUCCESS","Type: REG_SZ, Length: 36, Data: Syria Summer Time"
